What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Do you encourage others to work remotely? (This can be anyone in your life from coworkers to friends and family.),What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD? (We are not gathering your name or email address so this information will not be able to be used to identify you.),What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
Ireland {Republic},Software,,Customer Support,,Management level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to spend time with family,,4 weeks,4 weeks,Home,,Home,,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,11 to 50,1 to 25%,No,No,No,No,Between $11 and $20,,"$25,001 to $50,000",I'm more focused,
United States,Software,,Engineering,,Senior level,6 months to 11 months,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,1 week,3 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,11 to 50,1 to 25%,No,No,No,,,,"$75,001 to $100,000",I tend to work more(longer hours) than I would if I worked in the office.,
Ireland {Republic},E-commerce,,Sales,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to spend time with family,,4 weeks,5 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,No,Between $11 and $20,Between $1 and $100,"$100,000 to $125,000",How productive I am,No
Ireland {Republic},IT and Services,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to work from home,,4 weeks,4 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,101 to 500,76 to 99%,No,No,No,"Laptop, travel expenses, work related purchases",,,"$100,000 to $125,000",That so many companies don’t do it,
United Kingdom,Marketing,,Marketing and Advertising,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to spend time with family,,3 weeks,None,Home,,Coffee shops and cafes,,Never,Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"up to $25,000",,
United States,Media and Publishing,,Engineering,,Senior level,Less than six months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to work from home,,3 weeks,5 weeks,Home,,Libraries,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,76 to 99%,No,No,No,,,,"$100,000 to $125,000",How lonely it gets after a few months,
United States,Marketing,,Marketing and Advertising,,Entry level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Staying motivated,,Ability to have a flexible schedule,,More than 6 weeks,1 week,Home,,Not applicable,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,,"up to $25,000",Being able to follow my passions and my dreams has been a blessing. I’ve been able to carve a place for me in the industry I want to work in. No longer have to work at a big record label to do what I want to do.,
Ireland {Republic},Financial Services,,Operations,,Management level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,Ability to spend time with family,,4 weeks,4 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,"More than 1,001",1 to 25%,No,No,No,No,Between $1 and $5,,"$50,001 to $75,000",The benefits are endless for my mental health and I could never give up the autonomy,
United States,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,5 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,No,Wireless Hotspot,Between $5 and $10,,"$125,001 to $150,000",,
United States,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to spend time with family,,4 weeks,Unlimited,Home,,Not applicable,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,No,no,,,"$125,001 to $150,000",nothing,
Ireland {Republic},Non-profit,,Design,,Professional level,6 months to 11 months,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,Between $201 and $300,"$25,001 to $50,000",The productivity!,N/A
Mexico,Medical and Healthcare,,Customer Support,,Professional level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,2 weeks,2 weeks,Home,,Libraries,,Always,Freelancer / Self-employed,,,,,,,,,Between $11 and $20,Between $101 and $200,"up to $25,000",Work more fluently,
Armenia,,Twitch titty streamer,Sales,,Executive level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,Having to wear low cut shirts all the time.,The flexibility to work from any location,,6 weeks,None,,Grandma's basement,Libraries,,Never,Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"$125,001 to $150,000",How many lonely men will give money while I sit at a computer chair eating fruit loops.,No
United States,Non-profit,,Engineering,,Management level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coworking spaces,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,Yes,No,No,,Between $5 and $10,Between $1 and $100,"$100,000 to $125,000","I know many new remote workers have issues focusing, staying on task, avoiding distractions -- this is rarely an issue for me. As a result, I feel I work *more frequently* not just remotely, but at home (vs needing the change of scenery of a coffeeshop to keep me on task).",
United States,Travel and Tourism,,Operations,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,The flexibility to work from any location,,2 weeks,Unlimited,Coffee shops and cafes,,Home,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,,"$25,001 to $50,000",How well I can still work with my team and clients,
Switzerland,Software,,Product,,Senior level,Less than six months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,5 weeks,5 weeks,Home,,Coffee shops and cafes,,Very frequently (More than six months of the year),Employee,,At my company we can work from home as needed,101 to 500,51 to 75%,No,Yes,Yes,,Between $20 and $30,Between $201 and $300,"$100,000 to $125,000",,
Ireland {Republic},IT and Services,,Operations,,Professional level,1 year to 4 years,76 to 99%,I would like to work remotely more often.,1,1,Unplugging after work,,Ability to spend time with family,,4 weeks,4 weeks,Home,,Libraries,,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,,Between $5 and $10,,"$25,001 to $50,000",,
United States,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to spend time with family,,3 weeks,None,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,,"$125,001 to $150,000",,
Ireland {Republic},Software,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,None,Ability to work from home,,2 weeks,2 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"501 to 1,000",1 to 25%,No,Yes,No,,,,,That I get more work done,
United States,Marketing,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,3 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,51 to 75%,No,No,No,education,More than $30,Between $1 and $100,"$50,001 to $75,000",amount of extra work done after hours,
United States,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,51 to 75%,No,No,No,no,,,"$50,001 to $75,000",,
Ireland {Republic},Software,,Sales,,Executive level,1 year to 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,3 weeks,5 weeks,Home,,Coworking spaces,,Almost all the time,Business owner,1,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,No,No,No,Between $1 and $5,Between $1 and $100,"$75,001 to $100,000",Ability to get through work more efficiently,No
United States,IT and Services,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,6 weeks,Unlimited,Home,,,Airports,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,11 to 50,100%,Yes,Yes,No,,,,"$150,001 to $200,000",,
United States,Media and Publishing,,,Animation,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,4 weeks,None,Home,,Coworking spaces,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,,,Between $101 and $200,"$100,000 to $125,000",How remote you can go and stills be effective. It doesn’t take a lot of bandwidth to get work done.,yeah when can we all party together?
United States,,Material Handling,Engineering,,Professional level,More than 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,2 weeks,3 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,No,,,"$75,001 to $100,000",,
United States,IT and Services,,Operations,,Professional level,1 year to 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,3 weeks,4 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,Partially,No,No,,Between $1 and $5,,"$50,001 to $75,000",,
