Do you work remotely sometimes?,What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Would you recommend remote work to others?,What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,24. Does your company pay for your cell phone?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD?,What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
1,United Arab Emirates,,Aviation,Engineering,,Executive level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,2 weeks,4 weeks,Home,,Libraries,,Very frequently (More than six months of the year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,,Not applicable,Not applicable,"$75,001 to $100,000",How it is still not so easy to get free and reliable WiFi,There was no option for those without a fixed residency country.
1,United Arab Emirates,E-commerce,,Product,,Management level,6 months to 11 months,26 to 50%,I would like to work remotely more often.,1,1,Distractions at home,,Flexibility to work from any location,,5 weeks,5 weeks,Company's office,,Home,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,11 to 50,51 to 75%,No,No,No,No,Hotel,Not applicable,Not applicable,"$75,001 to $100,000",Being free,No
1,United Arab Emirates,Software,,Engineering,,Entry level,6 months to 11 months,26 to 50%,I would like to work remotely more often.,1,1,,Nothing,Flexibility to work from any location,,2 weeks,6 weeks,Home,,Home,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Between $20 and $30,Not applicable,"up to $25,000",Flexibility,
1,United Arab Emirates,Financial Services,,Design,,Professional level,6 months to 11 months,100%,I would like to work remotely less often.,1,1,Not being able to unplug,,Not having to commute,,3 weeks,4 weeks,Home,,Coffee shops,,Infrequently (Less than a week per year),Business owner,0,I am a solo business or freelancer and work remotely,Just me,100%,No,No,No,No,None,Between $1 and $5,Not applicable,"up to $25,000",The sobering fact that you’re on your own. No safety net,
1,United Kingdom,IT and Services,,Data,,Senior level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,4 weeks,5 weeks,Home,,,a friend's house,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,51 to 75%,No,No,Yes,No,No,Not applicable,Not applicable,"$100,000 to $125,000",It's hard to start a new position remotely. It's easy to make real friends.,"I found it hard for my mental health, but I can see it can work for a lot of people."
1,United Kingdom,IT and Services,,Engineering,,Professional level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,3 weeks,4 weeks,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,No,No,No,,Between $20 and $30,Not applicable,"$25,001 to $50,000",,
1,United Kingdom,,Consulting,,Strategy,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,1 week,Unlimited,Home,,Coworking spaces,,Infrequently (Less than a week per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Yes,Yes,No,No,none,Between $11 and $20,Between $1 and $100,"$25,001 to $50,000",nothing,nothing
1,United Kingdom,Software,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Flexibility to work from any location,,1 week,None,Home,,Coffee shops,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,Yes,Yes,Travel for meetings,More than $30,Not applicable,"$125,001 to $150,000","I can get paid like in developed countries, and they will treat me better than how the people in my immediate surroundings would treat me. But you still get bad clients occasionally.

Also being your own boss offers unlimited freedom, but requires a lot of self discipline and work ethic. The competitive pressure is much higher than in the traditional job market. You need to compete constantly.",You can work remotely while on vacation. It's the future.
1,United Kingdom,Software,,Engineering,,Professional level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,4 weeks,4 weeks,Coworking spaces,,Home,,Always,Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,No,No,Membership to remote meeting software,Between $11 and $20,Between $201 and $300,"$50,001 to $75,000",Weirdness of sleep pattern to keep useful schedule with office,
1,United Kingdom,Non-profit,,Leadership,,Executive level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Flexibility to work from any location,,Less than 1 week,4 weeks,Home,,Coffee shops,,Infrequently (Less than a week per year),Business owner,1,Everyone at my company works remotely,11 to 50,76 to 99%,No,Yes,No,No,No,Between $5 and $10,Not applicable,"$50,001 to $75,000",How productive I am with less noise and distraction of the office.,No
1,United Kingdom,Marketing,,Marketing and Advertising,,Management level,6 months to 11 months,26 to 50%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to spend time with family,,2 weeks,4 weeks,Company's office,,Home,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,11 to 50,1 to 25%,No,No,No,No,No,Not applicable,Not applicable,"$25,001 to $50,000",How productive I cat be without office distractions,Nothing
1,United Kingdom,,Logistics,Operations,,Management level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,5 weeks,5 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,Yes,No,No,n/a,Not applicable,Between $101 and $200,"$50,001 to $75,000",Family think I am available to do other things even though I am working,"Location and facilities are key to remote working, sometimes the home 'office' is not as focussed and conducive to good working practice as an office environment"
1,United Kingdom,,Design,Design,,Senior level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,4 weeks,None,Home,,Coffee shops,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Between $5 and $10,Not applicable,"$50,001 to $75,000",,
1,United Kingdom,Software,,Customer Support,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to work from home,,5 weeks,5 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",,No,Yes,No,No,Printer ink,Not applicable,Not applicable,"$100,000 to $125,000",How much I like it,I love to work remotely but I don't think it works for everybody.
1,United Kingdom,Government,,Finances,,Senior level,More than 4 years,51 to 75%,I would like to work remotely more often.,1,1,Not being able to unplug,,Flexibility to work from any location,,3 weeks,3 weeks,Home,,Company's office,,Never,Employee,,At my company we can work remotely a certain number of days per week/month,Fewer than 10,26 to 50%,No,No,No,No,No,Between $5 and $10,Between $1 and $100,"$25,001 to $50,000",I don't worry about taking leave and waiting at home for the plumber or electrician.,No
1,United Kingdom,Software,,Leadership,,Management level,6 months to 11 months,26 to 50%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Not having to commute,,4 weeks,5 weeks,Company's office,,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",51 to 75%,No,No,No,No,No,Not applicable,Not applicable,"$75,001 to $100,000",The positive impact on my wellbeing and the flexibility of fitting work around my life and not the other way around.,"No, great survey"
1,United Kingdom,Marketing,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to spend time with family,,2 weeks,More than 6 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,Partially,No,No,No,,Not applicable,Not applicable,"up to $25,000",,
1,United Kingdom,Medical and Healthcare,,Design,,Professional level,More than 4 years,76 to 99%,I would like to work remotely less often.,1,1,Distractions at home,,Ability to have a flexible schedule,,3 weeks,None,Home,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"up to $25,000",Ease of collaboration,
1,United Kingdom,Software,,Design,,Executive level,More than 4 years,26 to 50%,I would like to work remotely less often.,1,0,Loneliness,,Not having to commute,,More than 6 weeks,Unlimited,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,Yes,Partially,Travel to the office for all company meeting every 2 weeks and cost of overnight stays in hotels etc,Not applicable,Not applicable,"$75,001 to $100,000",The loneliness,nope
1,United Kingdom,Marketing,,Marketing and Advertising,,Senior level,More than 4 years,76 to 99%,I would like to work remotely less often.,1,1,Loneliness,,Ability to spend time with family,,6 weeks,Unlimited,Home,,Company's office,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$50,001 to $75,000",How many other people work remotely,No
1,United Kingdom,Software,,Product,,Senior level,6 months to 11 months,1 to 25%,I would like to work remotely less often.,0,0,Difficulties with collaboration and communication,,Flexibility to work from any location,,5 weeks,5 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,11 to 50,1 to 25%,No,No,No,No,no,Not applicable,Not applicable,"$75,001 to $100,000",How much I like a desk and good chair,"My guess is that best is all employees together in an office. If that's not possible, then my guess is no office for anybody is best."
1,United Kingdom,,International trade,,All of the above - I'm a startup founder,Executive level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,3 weeks,Unlimited,Coffee shops,,Home,,Almost all the time,Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,Yes,,Between $5 and $10,Not applicable,"$50,001 to $75,000",The freedom to be able to work whenever and wherever but the loneliness that can come with working by yourself all day,
1,United Kingdom,Software,,Leadership,,Executive level,Less than six months,51 to 75%,I would like to work remotely less often.,1,1,Distractions at home,,Ability to spend time with family,,3 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,Fewer than 10,100%,No,Yes,Yes,Partially,,Between $11 and $20,Not applicable,"$75,001 to $100,000",I can be way more focused and efficient,
1,United Kingdom,Education,,,training and copywriting,Executive level,More than 4 years,26 to 50%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Not applicable,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$25,001 to $50,000",why didn't i start it earlier?,nope
1,United Kingdom,Software,,Leadership,,Senior level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,4 weeks,4 weeks,Coworking spaces,,Home,,Almost all the time,Freelancer / Self-employed,,,,,,,,,,Not applicable,Between $301 and $400,"$50,001 to $75,000",How good Microsoft teams is,No
